NOME DA BARRAGEM DE MINERAÇÃO	Latitute Decimal	Longitude Decimal	UF	MUNICÍPIO	ALTURA ATUAL (m)	VOLUME ATUAL (m3)	DANO POTENCIAL ASSOCIADO
PS -1	-6.433.861.111	-5.004.836.111	PA	CANAÃ DOS CARAJÁS	7	220000	
RECON	-6.831.527.778	-51.991	PA	SÃO FÉLIX DO XINGU	3	0	
Sul Pilha	-6.478.222.222	-5.032.136.111	PA	CANAÃ DOS CARAJÁS	12	496059.42	
Usina	-6.580.472.222	-5.107.708.333	PA	OURILÂNDIA DO NORTE	8.5	494416	
QUIXABA USINA	-6.807.472.222	-37.008	PB	VÁRZEA	3	450	
803.285/2014	-9.236.055.556	-4.257.811.111	PI	SÃO LOURENÇO DO PIAUÍ	1	500	
bonito	-5.208.916.667	-4.170.766.667	PI	CASTELO DO PIAUÍ	1.5	900	
areal eskema	-2.274.388.889	-4.370.777.778	RJ	SEROPÉDICA	8	80000	
Pond de Emergência	-2.183.111.111	-4.102.055.556	RJ	SÃO JOÃO DA BARRA	4.5	333438	
BARRAGEM 339	-1.113.736.111	-6.162.086.111	RO	MINISTRO ANDREAZZA	4.5	7500	
BARRAGEM 341	-1.113.736.111	-6.162.086.111	RO	MINISTRO ANDREAZZA	4.5	7500	
BARRAGEM TABOQUINHA	-9.523.333.333	-6.290.588.889	RO	CUJUBIM	4.5	7500	
BARRAGEM TARILÂNDIA 01	-10.822	-6.283.394.444	RO	JARU	3	31250	
BARRAGEM URUPA 01	-1.113.541.667	-6.243.752.778	RO	URUPÁ	3	31250	
Belíssima	-9.792.790.833	-6.355.968.583	RO	ARIQUEMES	10	1300000	
Queimada	-9.423.861.111	-6.304.788.889	RO	ITAPUÃ DO OESTE	5	60000	
RESERVATÓRIO 01	-1.289.744.444	-6.042.258.333	RO	VILHENA	2	17848	
RESERVATÓRIO 02	-1.280.422.222	-6.036.511.111	RO	VILHENA	2	30800	
RIO BRANCO	-9.770.694.444	-6.274.063.889	RO	RIO CRESPO	4	600000	
MNP-01	-2.934.666.667	-5.119.166.667	RS	NOVA PETRÓPOLIS	5	4000	
VIAMAO	-2.916.666.667	-5.082.111.111	RS	VIAMÃO	13	111000	
Barragem 101	-2.872.916.667	-4.924.833.333	SC	IÇARA	3	9542.2	
Santa Líbera	-287.385	-4.942.588.889	SC	FORQUILHINHA	2.2	3500	
Dique Petrobrás	-1.065.344.444	-3.703.058.333	SE	ROSÁRIO DO CATETE	6	6362.07	
1. CONJUNTO DE LEIRAS DE DECANTAÇÃO	-2.319.294.444	-483.625	SP	BOFETE	3	140059	
12 - AN	-221.569.575	-4.764.279.139	SP	ANALÂNDIA	10	492348	
13 - AN	-2.215.502.083	-4.763.945.139	SP	ANALÂNDIA	8	663184	
Barramento 1	-2.339.307.222	-4.677.502.778	SP	CAIEIRAS	4	56000	
Barramento 2	-2.338.927.778	-4.677.158.333	SP	CAIEIRAS	4	5200	
Boa Sorte	-2.341.194.444	-4.621.188.889	SP	MOGI DAS CRUZES	0	365000	
CAMC	-2.340.127.778	-4.620.541.667	SP	MOGI DAS CRUZES	13	588484	
Cascalho	-2.274.794.444	-4.687.166.667	SP	PEDREIRA	0	140000	
CAVA	-2.300.825.778	-4.748.237.972	SP	CAPIVARI	0	180000	
CAVA 1	-2.378.511.111	-4.669.677.778	SP	SÃO PAULO	0	120000	
CAVA 2	-2.378.291.667	-4.669.880.556	SP	SÃO PAULO	0	92000	
CHAPADINHA 061	-2.365.908.333	-4.800.566.667	SP	ITAPETININGA	6	565500	
CHAPADINHA 221	-2.365.152.778	-4.799.236.111	SP	ITAPETININGA	10.6	740000	
Conjunto de cavas em desativação recuperação	-2.317.761.111	-4.834.330.556	SP	BOFETE	0	0	
Conterpa	-2.286.113.889	-4.723.861.111	SP	HORTOLÂNDIA	0	300000	
decantação de finos / reservatorio agua processo	-2.317.813.889	-4.834.652.778	SP	BOFETE	0	0	
Deposito de Finos Porto de Areia Serramar	-2.365.972.222	-4.552.111.111	SP	CARAGUATATUBA	0	385000	
